Year,Policy / Instrument,Level,Sector / Domain,Instrument type,Behavioural mechanism,Key target / provision,Direction of impact,Status / outcome,Trade-offs / notes
1992,UN Framework Convention on Climate Change (UNFCCC),International,Cross-cutting,Framework / target-setting,International commitment,"Stabilise GHG concentrations; no binding numeric target. Ireland signed 1992, ratified 1994.",Enabling,Foundational; start of measurement record,Sets reporting obligations (national inventories) that anchor all later targets.
1997,Kyoto Protocol — 1st commitment period,International,Cross-cutting,Framework / target-setting,International binding commitment,Ireland permitted +13% above 1990 over 2008–2012 (within EU burden-sharing). In force 2005.,Reduce,Target met (with land-use & credits),Generous allowance reflected expected growth; weak constraint during Celtic Tiger.
2000,National Climate Change Strategy (1st),National,Cross-cutting,Strategic / planning,Planning / coordination,First national strategy; sectoral measures toward Kyoto. Reviewed 2002.,Reduce,Largely missed; emissions rose ~31% above 1990 by 2001,Weak implementation during rapid economic growth.
2003,EU Emissions Trading System (ETS) Directive 2003/87/EC,EU,"Power, heavy industry, (later aviation)",Market-based,Carbon price / cap-and-trade,Cap-and-trade on ~large installations; operational from 2005.,Reduce,Operational; emissions in ETS sector declining,Covers only large emitters — leaves agriculture & transport to national effort.
2006,Ireland's Pathway to Kyoto Compliance,National,Cross-cutting,Strategic / planning,Planning,Review setting out route to Kyoto compliance; basis for 2007 strategy.,Reduce,Transitional document,Signalled reliance on flexible mechanisms / carbon purchasing.
2007,National Climate Change Strategy 2007–2012,National,Cross-cutting,Strategic / planning,Planning,Sectoral measures to meet Kyoto target; first adaptation section.,Reduce,"Emissions fell mainly via 2008 recession, not policy",Hard to disentangle policy effect from economic crash.
2007,Carbon Fund Act 2007,National,Cross-cutting,Fiscal,State purchase of Kyoto units,Established Carbon Fund to buy Kyoto units to meet international obligations.,Enabling,Used to cover shortfall,Compliance via offsets rather than domestic abatement.
2009,2020 Climate & Energy Package — Effort Sharing Decision 406/2009,EU,"Non-ETS (transport, buildings, agriculture, waste)",Framework / target-setting,Binding national limit,"Ireland: −20% non-ETS emissions by 2020 vs 2005, with annual limits.",Reduce,"Missed via domestic action; ~5.7% delivered, used flexibilities",Exposed structural difficulty cutting agriculture & transport.
2009,Renewable Energy Directive (RED I) 2009/28/EC,EU,Energy,Regulatory / target-setting,Mandate,Ireland: 16% of gross final energy from renewables by 2020.,Reduce,Missed (13.5% in 2020),Slow build-out of wind & heat renewables.
2010,Carbon Tax (Finance Act 2010),National,Heat & transport fuels (non-ETS),Fiscal / Market-based,Carbon price signal,Tax on CO2 of non-ETS fuels; legislated trajectory to €100/tonne by 2030; revenue ring-fenced.,Reduce,Operational & rising; measurable demand effects,Regressive risk — mitigated by revenue recycling / just-transition spend.
2010,Food Harvest 2020,National,Agriculture,Strategic / planning,Sectoral growth plan,Expansion of dairy & beef output and exports.,Increase,Contributed to rising agriculture emissions,Key policy CONFLICT: growth strategy works against climate targets.
2012,National Climate Change Adaptation Framework,National,Cross-cutting (adaptation),Strategic / planning,Planning,First national adaptation framework.,Enabling,"Adaptation focus, not mitigation",Complements but does not reduce emissions directly.
2014,EU milk quota abolition (CAP),EU,Agriculture,Regulatory,Market liberalisation,End of milk quotas effective 2015; enabled dairy expansion.,Increase,"Dairy herd +~25%, milk +~41% post-2014",Strong driver of Irish agricultural emissions growth.
2015,Paris Agreement,International,Cross-cutting,Framework / target-setting,International binding commitment,"Limit warming to well below 2°C, pursue 1.5°C; NDCs. Adopted 2015; EU & Ireland ratified 2016.",Reduce,Drives EU −55% by 2030 NDC,Anchors the 1.5°C framing of Irish carbon budgets.
2015,Climate Action & Low Carbon Development Act 2015,National,Cross-cutting,Framework / Regulatory,Statutory framework,First Irish climate law; created Climate Change Advisory Council; National Policy Position (−80% CO2 by 2050 in energy/built/transport; carbon-neutral agriculture & land use).,Reduce,Framework in place; criticised as non-binding on targets,Lacked enforceable interim targets — fixed in 2021 amendment.
2015,Food Wise 2025,National,Agriculture,Strategic / planning,Sectoral growth plan,Continued agri-food export expansion to 2025.,Increase,Associated with further emissions & water-quality pressure,Reinforced the agriculture–climate trade-off.
2017,National Mitigation Plan,National,Cross-cutting,Strategic / planning,Planning,First statutory mitigation plan under the 2015 Act.,Reduce,"Quashed by Supreme Court (2020, 'Climate Case Ireland') as too vague",Landmark legal driver that forced stronger 2021 legislation.
2018,Effort Sharing Regulation (EU) 2018/842,EU,Non-ETS sectors,Framework / target-setting,Binding national limit,Ireland: −30% non-ETS by 2030 vs 2005 (later revised to −42%).,Reduce,Annual limits exceeded since 2016,Drives the bulk of Ireland's domestic effort.
2018,Renewable Energy Directive II (RED II) 2018/2001,EU,Energy,Regulatory / target-setting,Mandate,"EU 32% renewables by 2030; sectoral sub-targets (transport, heat).",Reduce,Transposed; national RES target later raised,Superseded by RED III ambition.
2018,Governance of the Energy Union Regulation (EU) 2018/1999,EU,Cross-cutting,Framework / Regulatory,Planning / monitoring,Requires Member States to submit National Energy & Climate Plans (NECPs).,Enabling,Drives NECP cycle,Creates the planning architecture linking EU & national targets.
2018,Project Ireland 2040 / National Development Plan,National,Cross-cutting (investment),Strategic / planning,Investment / planning,Long-term capital plan with climate-action allocations.,Mixed,Ongoing,Investment can lock in or reduce emissions depending on project mix.
2019,European Green Deal,EU,Cross-cutting,Framework / strategic,Strategy / investment,"Roadmap to EU climate neutrality by 2050; spawned Fit for 55, REPowerEU, Green Deal Industrial Plan.",Reduce,Driving 2021–2023 legislation,Umbrella under which binding EU laws were enacted.
2019,Climate Action Plan 2019,National,Cross-cutting (all sectors),Strategic / planning,Planning / sectoral actions,First detailed CAP; >180 actions; non-statutory.,Reduce,Partially implemented; superseded by statutory CAPs,Set template for later annual plans.
